"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","Black_per_arrest","White_per_arrest","total_per_arrest","Total_arest_over_total_pop","Black_arest_over_Black_pop","White_arest_over_white_pop","SIR_arrests","SIR_B","SIR_W"
"36",10400,2018,46,57,103,37,129,3031,2584,256,0.852523919,0.084460574,44.713870029098,55.3831231813773,100,3.39810629804361,17.9617336977743,2.2057969892806,0.993637573938312,1.58173555436802,1.00791622373234
"37",10501,2010,232,244,476,37,129,3431,2103,1079,0.612940834,0.314485573,48.7502625498845,51.2707414408738,100,13.8731019206668,21.4993976461866,11.6019209738006,4.05706344396197,1.89768046265926,5.29928201253026
"38",10501,2011,192,310,502,37,129,3970,2159,1518,0.543828715,0.382367758,38.2593108942442,61.7606054570803,100,12.6445177703332,12.6473881825967,14.357834282803,3.69818841494094,1.11657718326228,6.5584316325675
"39",10501,2012,178,351,535,37,129,4146,2350,1403,0.566811384,0.338398456,33.2834984115119,65.6139039431882,100,12.9036926268059,12.6861948542513,14.9355346580997,3.77410422624402,1.11995589910892,6.82346364494546
"40",10501,2013,162,378,546,37,129,4065,2409,1477,0.592619926,0.363345633,29.6832082036257,69.2364035890863,100,13.431403901503,10.9674361925394,15.6905068282761,3.92839720456334,0.968248427239582,7.16871484668647
"41",10501,2014,146,313,460,37,129,4380,2720,1426,0.621004566,0.325570776,31.7539665290154,68.0504238209085,100,10.502043332344,10.237711240446,11.5069298922834,3.07177565699586,0.903808305546245,5.25842788422264
"42",10501,2015,108,226,334,37,129,4622,2999,1398,0.64885331,0.302466465,32.3555821610296,67.6743489973062,100,7.22615261461241,7.72476932980474,7.53559401153679,2.11367146166083,0.68195261199046,3.44413641471325
"43",10501,2016,124,253,385,37,129,4440,3013,1187,0.678603604,0.267342342,32.2253960010387,65.7231887821345,100,8.67097587892165,10.4456237890658,8.39666788357506,2.53622308785848,0.922061386220845,3.83771602835936
"44",10501,2017,124,181,307,37,129,4274,2844,1226,0.665418811,0.286850725,40.4102898078802,58.9710192119831,100,7.18279871785873,10.1133675882881,6.36405189690939,2.10088576446497,0.892751024068149,2.90844787284545
"45",10501,2018,102,254,362,37,129,4396,3200,1169,0.727934486,0.265923567,28.196630764982,70.1739850869925,100,8.23457155205751,8.72465999486785,7.93725196087622,2.40856136428503,0.770139780804007,3.62805350820979
"46",10502,2010,191,236,428,37,129,7375,5021,1912,0.680813559,0.259254237,44.6391030133146,55.1506657323055,100,5.80331114154384,9.9890173108101,4.70016530242377,1.69787341363414,0.881976105571956,2.14949661359121
"47",10502,2011,181,308,493,37,129,7441,5563,1375,0.747614568,0.184786991,36.7268302575542,62.4822551206652,100,6.62536452943785,13.1626790778852,5.53648145817979,1.93838797270738,1.16200742380234,2.5321835365686
"48",10502,2012,202,309,515,37,129,7991,5973,1178,0.747465899,0.147415843,39.2350999805863,60.0077654824306,100,6.44466969503573,17.1462524403701,5.17319314928597,1.88557122942421,1.5135350430248,2.36615940066325
"49",10502,2013,159,224,387,37,129,8272,6302,1181,0.761847195,0.142770793,41.1004908292431,57.8920175665203,100,4.67837671208037,13.4620269240538,3.55437076530046,1.36880847481936,1.18832286868455,1.62579212275409
"50",10502,2014,125,225,355,37,129,8408,6408,1207,0.762131304,0.143553758,35.229512813292,63.3905941988172,100,4.222119147013,10.3553972330379,3.51118116134268,1.23532258293683,0.914106849198058,1.60605578006233
"51",10502,2015,155,234,393,37,129,8205,5857,1554,0.713833029,0.189396709,39.4556092597303,59.5522767743577,100,4.78970396460738,9.97361817128885,3.99515118403305,1.40137690779248,0.88053338464692,1.82730936757392
"52",10502,2016,140,257,400,37,129,8472,6161,1422,0.727219075,0.167847025,35.0162459385154,64.2589352661835,100,4.72137958711536,9.84459601997047,4.17133304117771,1.38140147906688,0.869101862698975,1.90796364920411
"53",10502,2017,190,250,443,37,129,8753,6188,1832,0.706957615,0.209299669,42.9022793951704,56.4432408034304,100,5.06106408015446,10.370612957808,4.04001228163734,1.48080368056709,0.91565256110891,1.84790351739216
"54",10502,2018,183,253,441,37,129,8648,6455,1806,0.746415356,0.208834413,41.509861709363,57.3792790750397,100,5.09938599229889,10.1323293283871,3.91938157425911,1.49201034157257,0.894608280107784,1.79278058952559
"55",10600,2010,175,202,377,37,129,4061,3733,94,0.919231716,0.023147008,46.4333068151684,53.5932113497746,100,9.28319913323976,185.972369819341,5.41105247649407,2.71513453331591,16.2914658706571,2.47384169649734
"56",10600,2011,140,215,355,37,129,3983,3576,117,0.897815717,0.029374843,39.4536750211208,60.5744860602647,100,8.9126559714795,119.555935098207,6.01213612594726,2.60672318248799,10.4902938248906,2.74850242880158
"57",10600,2012,132,148,283,37,129,3829,3424,127,0.894228258,0.033167929,46.661956905687,52.3136700812434,100,7.39077067718263,103.855232100708,4.32230367103764,2.16154913033443,9.11742082423974,1.97587055399115
"58",10600,2013,85,191,277,37,129,3997,3548,158,0.887665749,0.039529647,30.7109346806207,68.9642728256947,100,6.93002426759401,53.763440860215,5.38316281953722,2.0268593160194,4.72555239893542,2.46093730632689
"59",10600,2014,112,180,294,37,129,3979,3776,92,0.948982156,0.023121387,38.1162869772186,61.2376742604556,100,7.38860546354703,121.606948968512,4.7668229125288,2.16097597380143,10.6510464878391,2.17934056196733
"60",10600,2015,98,172,270,37,129,3951,3746,176,0.948114401,0.044545685,36.319881525361,63.7171417993336,100,6.83354002682797,55.6501987507098,4.59144176610341,1.99862363682719,4.89385564528264,2.09913826489077
